id	title
OSD-1	Expression data from drosophila melanogaster
OSD-100	Rodent Research-1 (RR1) NASA Validation Flight: Mouse eye transcriptomic and epigenomic data
OSD-101	Rodent Research-1 (RR1) NASA Validation Flight: Mouse left gastrocnemius muscle transcriptomic, proteomic, and epigenomic data
OSD-102	Rodent Research-1 (RR1) NASA Validation Flight: Mouse kidney transcriptomic, proteomic, and epigenomic data
OSD-103	Rodent Research-1 (RR1) NASA Validation Flight: Mouse quadriceps muscle transcriptomic, proteomic, and epigenomic data
OSD-104	Rodent Research-1 (RR1) NASA Validation Flight: Mouse soleus muscle transcriptomic and epigenomic data
OSD-105	Rodent Research-1 (RR1) NASA Validation Flight: Mouse tibialis anterior muscle transcriptomic, proteomic, and epigenomic data
OSD-106	Streptococcus mutans differential gene expression in response to simulated microgravity
OSD-107	The Role of PTHrP in Osteoblast Response to Microgravity: Implications for Osteoporosis Development.
OSD-108	STS-135 Liver Metabolomics
OSD-109	Delayed Cardiomyocyte Response to Total Body Particle Radiation Exposure - Identification of Regulatory Gene Network [iron]
OSD-11	Space flight alters bacterial gene expression and virulence and reveals a role for global regulator Hfq
OSD-110	The influence of simulated microgravity on the proteome of Daphnia magna
OSD-111	Global gene expression analysis highlights microgravity sensitive key genes in soleus and EDL of 30 days space flown mice
OSD-112	Microgravity effect on C. elegans N2/VC (CERISE, 4 days)
OSD-113	Expression Data from International C. elegans Experiment 1st (ICE-FIRST)
OSD-114	Gene Expression Profile Changes due to Bleomycin-Induced DNA Damage in Human Fibroblasts in Space
OSD-115	Gene expression profiling in human fibroblast after low-LET irradiation
OSD-116	Biological and Metabolic Response in STS-135 Space-flown Mouse Skin
OSD-117	Delayed Cardiomyocyte Response to Total Body Particle Radiation Exposure - Identification of Regulatory Gene Network [proton]
OSD-118	Transient gene expression profile changes of confluent human fibroblast cells in spaceflight
OSD-119	Effect of microgravity on an animal-bacteria symbiosis
OSD-12	Transcription profiling of S. cerevisiae cultures grown under low shear-modeled microgravity
OSD-120	Genetic dissection of the Arabidopsis spaceflight transcriptome: Are some responses dispensable for the physiological adaptation of plants to spaceflight?
OSD-121	Biological Research in Canisters-16 (BRIC-16): Transcriptomics, Glycomics, and Morphometric photography.
OSD-122	Microgravity induces proteomics changes involved in endoplasmic reticulum stress and mitochondrial protection
OSD-123	Exposure of zebrafish larvae to 3g and 5g hyper gravity between 5-6 days post-fertilization.
OSD-124	Effect of electromagnetic fields on the chondrogenic differentiation under microgravity conditions
OSD-125	mRNA expression profile in DLD-1 and MOLT-4 cancer cell lines cultured under Microgravity
OSD-126	Analysis of dust samples from the Russian part of the ISS
OSD-127	Global gene expression profiles of cardiac progenitors differentiated from human pluripotent stem cells in 3D culture under simulated microgravity
OSD-128	Identification of miRNAs involved in cell response to ionizing radiation and modeled microgravity
OSD-129	Gene expression profiling of PBL in response to ionizing radiation and modeled microgravity
OSD-13	T Cell Activation in Microgravity Compared to 1g (Earth's) Gravity
OSD-130	RAD51 Interconnects Between DNA Replication, DNA Repair and Immunity
OSD-132	Whole genome sequencing and assembly of Eukaryotic microbes isolated from ISS environmental surface, Kirovograd region soil, Chernobyl Nuclear Power Plant and Chernobyl Exclusion Zone
OSD-133	Acute transcriptional up-regulation specific to osteoblasts/osteoclasts in medaka fish immediately after exposure to microgravity
OSD-134	Dissecting Low Atmospheric Pressure Stress: Transcriptome Responses to the Components of Hypobaria in Arabidopsis [Experiment 1]
OSD-135	Global gene expression analysis highlights microgravity sensitive key genes in longissimus dorsi and tongue of 30 days space-flown mice
OSD-136	Dissecting Low Atmospheric Pressure Stress: Transcriptome Responses to the Components of Hypobaria in Arabidopsis [Experiment 2]
OSD-137	Rodent Research-3-CASIS: Mouse liver transcriptomic, proteomic, epigenomic and histology data
OSD-138	BRIC-23 GeneLab Process Verification Test: Bacillus subtilis transcriptomic, proteomic, and metabolomic data
OSD-139	Mouse muscle LC-MSMS upon weightlessness
OSD-14	Response of Pseudomonas aeruginosa PAO1 to low shear modeled microgravity
OSD-140	Dynamic nature of epigenetic patterns observed during the Mars 520-d mission simulation
OSD-141	Validation of Methods to Assess the Immunoglobulin Gene Repertoire in Tissues Obtained from Mice on the International Space Station
OSD-144	Gravitational signature of synchronized cell cultures in particular cell cycle stages
OSD-145	BRIC-23 GeneLab Process Verification Test: Staphylococcus aureus transcriptomic, proteomic, and metabolomic data
OSD-146	Mouse fecal microbiome after exposure to high LET radiation
OSD-147	Arg1 functions in the physiological adaptation of undifferentiated plant cells to spaceflight
OSD-148	Expression profiling of murine lung 70 days following exposure to fractionated or acute dose of 1.0 Gy 56Fe- particle irradiation
OSD-149	Comparison of gene expression profiles of normal human bronchial epithelial cells in 2D and 3D cultural conditions
OSD-15	Transcriptional and proteomic response of Pseudomonas aeruginosa PAO1 to spaceflight conditions involves Hfq regulation and reveals a role for oxygen
OSD-151	Bystander response to 2.5 Gy of protons in a human 3-dimensional skin model in 16 h after exposure
OSD-152	Transcription profiling of human peripheral blood to development gene expression signatures for practical radiation biodosimetry
OSD-153	Non-targeted effects of low dose ionizing radiation act via TGF-beta to promote mammary carcinogenesis
OSD-154	Low dose ionizing radiation treated lymphoblastoid cells
OSD-155	Radiation responses in peripheral white blood cells of smokers and non-smokers
OSD-156	Identifying radiation exposure biomarkers from mouse blood transcriptome
OSD-157	Gene expression in human peripheral blood 48 hours after exposure to ionizing radiation
OSD-158	Exposure to ionizing radiation induced persistent gene expression changes in mouse mammary gland
OSD-159	Gene expression in blood of mice with internal exposure to Cs-137
OSD-16	Spaceflight adaptation requires organ specific alterations in the proteomes of Arabidopsis
OSD-160	Gene expression data from 4T1 irradiated tumors treated with TGFbeta blockade
OSD-161	Rodent Research-3-CASIS: Mouse adrenal gland transcriptomic, proteomic, and epigenomic data
OSD-162	Rodent Research-3-CASIS: Mouse eye transcriptomic and proteomic data
OSD-163	Rodent Research-3-CASIS: Mouse kidney transcriptomic, proteomic, and epigenomic data
OSD-164	Effects of spaceflight on the immunoglobulin repertoire of unimmunized C57BL/6 mice
OSD-165	Synergistic effects of space radiation and microgravity (miRNA WT and dys-mutant)
OSD-166	Synergistic effects of space radiation and microgravity (miRNA WT and ced-1 mutant)
OSD-167	Synergistic effects of microgravity and space radiation (Nimblegen)
OSD-168	RR-1 and RR-3 mouse liver transcriptomics with and without ERCC control RNA spike-ins
OSD-17	Transcription profiling by array of the response of Arabidopsis cultivar Columbia etiolated seedlings and undifferentiated tissue culture cells to the spaceflight environment
OSD-170	NASA Aircraft Bioaerosol Collector (ABC)
OSD-172	Dynamic gene expression response to altered gravity in human T cells (parabolic flight)
OSD-173	STS-135: Mouse Liver Transcriptomics using RNA-Seq
OSD-174	Effects of a Closed Space Environment on Gene Expression in Hair Follicles of Astronauts in the International Space Station
OSD-175	IMR90 4hr bystander experiment 0.5Gy alpha particle strip dish format
OSD-176	Regulation of early signaling and gene expression in the alpha-particle and bystander response of IMR-90 human fibroblasts.
OSD-177	Draft Genome Sequences of Two Fusarium oxysporum Isolates Cultured from Infected Zinnia hybrida Plants Grown on the International Space Station
OSD-178	IMR90 radiation bystander time-course experiment 0.5Gy alpha particle
OSD-18	Microarray Profile of Gene Expression during Osteoclast Differentiation in Modeled Microgravity
OSD-182	Human skin fibroblast mitochondrial depletion, 0.5 Gy alpha-particle
OSD-183	Radiation-induced bystander effects and gene expression in cells deficient for RAD9
OSD-185	BRIC-21 Bacillus subtilis transcriptome profile data
OSD-188	Dynamic gene expression response to altered gravity in human T cells (sounding rocket flight)
OSD-189	Gene expression response to simulated gravity and hypergravity in human T cells
OSD-19	Transcription profiling of rat to study the effect of hindlimb unloading on healing of medial collateral ligaments 3 weeks after injury
OSD-190	Worms spun in centrifuge at elevated g values
OSD-191	Temporal dynamics of the gut microbiota in people sharing a confined environment, a 520-day ground-based space simulation, MARS500
OSD-192	Adaptive changes in the vestibular system of land snail to a 30-day spaceflight and readaptation on return to Earth
OSD-193	During development, the Sku6 mutant roots engage different genes than wild type Col-0 roots, either on the ground or in spaceflight.
OSD-194	Rodent Research-3-CASIS: Mouse retina transcriptomic data
OSD-195	Effects of 21 days of bedrest on human skeletal muscle gene expression
OSD-198	Effects of bedrest and hypoxia on human skeletal muscle miRNA expression
OSD-199	Response to Low Shear Modeled Microgravity Indicates Translation of Lactobacillus acidophilus ATCC 4356 Benefits to Spaceflight
OSD-2	Response of human lymphoblastoid cells to HZE (iron ions) or gamma-rays
OSD-20	Candida albicans response to spaceflight (NASA STS-115)
OSD-200	Quantitative evaluation of bioaerosols in different particle size fractions collected on the International Space Station (ISS)
OSD-201	Impact of Antiorthostatic Suspension on Mouse response to Tetanus Toxoid and CpG
OSD-202	Low dose (0.04 Gy) irradiation (LDR) and hindlimb unloading (HLU) microgravity in mice: brain transcriptomic and epigenomic data
OSD-203	Low dose (0.04 Gy) irradiation (LDR) and hindlimb unloading (HLU) microgravity in mice: retina transcriptomic and epigenomic data
OSD-205	HSFA2 functions in the physiological adaptation of undifferentiated plant cells to spaceflight microgravity environment
OSD-207	Correlated Gene and Protein Expression in heads from Drosophila reared in microgravity
OSD-208	Comparing RNA-Seq and microarray gene expression data in two zones of the Arabidopsis root apex relevant to spaceflight.
OSD-209	Re-Adaption on Earth after Spaceflights Affects the Mouse Liver Proteome
OSD-21	Effects of spaceflight on murine skeletal muscle gene expression
OSD-210	Approaches for Surveying Cosmic Radiation Damage in Large Populations of Arabidopsis thaliana Seeds- an Antarctic Example
OSD-211	Transcriptomic analysis of spleens from mice subjected to chronic low-dose radiation, hindlimb unloading or a combination of both
OSD-212	Reproducible changes in gut microbiome reveal a shift in microbial and host metabolism during spaceflight
OSD-213	A whole-genome microarray study of Arabidopsis thaliana cell cultures exposed to microgravity for 5 days on board of Shenzhou 8
OSD-214	Impact of Antiorthostatic Suspension on Mouse response to Tetanus Toxoid and CpG: bone marrow transcriptomic data
OSD-215	HARV replication of the BRIC-21 Bacillus subtilis spaceflight samples
OSD-216	HARV replication of the BRIC-23 Bacillus subtilis spaceflight
OSD-217	Characterization of Epigenetic Regulation in an Extraterrestrial Environment: The Arabidopsis Spaceflight Methylome
OSD-218	Plant development on ISS differs from the development on the ground and is influenced by the genetic background
OSD-219	
OSD-22	Root transcriptome remodeling of Arabidopsis in response to high levels of magnesium sulfate
OSD-220	Methylome Analysis of Arabidopsis Seedlings Exposed to Microgravity
OSD-222	STS-135 Cerebellum Transcriptomics
OSD-223	The effect of spaceflight on transgenic Arabidopsis plants with compromised signaling
OSD-224	Whole metagenome profiles of particulates collected from the International Space Station.
OSD-225	Expression profiling of soleus muscle under the effect of simulated spaceflight
OSD-227	Effect of acute muscle unloading on soleus and gastrocnemius muscle gene expression
OSD-228	Hindlimb suspension and reloading study
OSD-232	The response of murine cartilages to 30 days of microgravity
OSD-233	International Space Station conditions alter genomics, proteomics, and metabolomics in Aspergillus nidulans
OSD-235	Transcriptomic analysis of liver from mice subjected to simulated spaceflight euthanasia, freezing, and tissue preservation protocols
OSD-236	Transcriptomic analysis of quadriceps from mice subjected to simulated spaceflight euthanasia, freezing, and tissue preservation protocols
OSD-237	Transcriptomic analysis of skin from mice subjected to chronic low-dose radiation, hindlimb unloading or a combination of both
OSD-238	Transcriptomic analysis of dorsal skin from mice flown on the MHU-2 mission
OSD-239	Transcriptomic analysis of femoral skin from mice flown on the MHU-2 mission
OSD-240	Transcriptional analysis of dorsal skin from mice flown on the RR-5 mission
OSD-241	Transcriptional analysis of femoral skin from mice flown on the RR-5 mission
OSD-242	Effect of spaceflight on liver from mice flown on the ISS for 33 days: transcriptional analysis
OSD-243	Transcriptional analysis of dorsal skin from mice flown on the RR-6 mission
OSD-244	Transcriptional analysis of thymus from mice flown on the RR-6 Mission
OSD-245	Transcriptional analysis of liver from mice flown on the RR-6 mission
OSD-246	Transcriptional analysis of spleen from mice flown on the RR-6 mission
OSD-247	Transcriptional analysis of colon from mice flown on the RR-6 mission
OSD-248	Transcriptional analysis of lung from mice flown on the RR-6 mission
OSD-249	Metagenomic analysis of feces from mice flown on the RR-6 mission
OSD-25	STS-135 Liver Transcriptomics
OSD-250	Metagenomic analysis of feces from mice flown on the RR-9 mission
OSD-251	RNAseq analysis of the response of Arabidopsis thaliana to fractional gravity under blue-light stimulation during spaceflight
OSD-252	International Space Station - Microbial Observatory of Pathogenic Virus, Bacteria, and Fungi project
OSD-253	Transcriptional analysis of kidneys from mice flown on the RR-7 mission
OSD-254	Transcriptional analysis of dorsal skin from mice flown on the RR-7 mission
OSD-255	Spaceflight influences gene expression, photoreceptor integrity, and oxidative stress-related damage in the murine retina
OSD-256	NASA Aircraft Bioaerosol Collector (ABC) -2
OSD-258	Effects of Spaceflight on Human Induced Pluripotent Stem Cell-Derived Cardiomyocyte Structure and Function
OSD-259	Alteration of Proteomes in First-generation Cultures of Bacillus pumilus Spores Exposed to Outer Space
OSD-26	Microbiomes of the Dust Particles Collected from the International Space Station and Spacecraft Assembly Facilities
OSD-260	Genomic and Proteomic characterization of Aspergillus niger isolated from the International Space Station
OSD-261	Proteomic characterization of Aspergillus fumigatus isolated from air and surfaces of the International Space Station
OSD-262	Draft Genome Sequence of Solibacillus kalamii, Isolated from an Air Filter Aboard the International Space Station
OSD-263	Draft Genome Sequences of Acinetobacter and Bacillus Strains Isolated from Spacecraft-Associated Surfaces
OSD-264	Genomic Characterization and Virulence Potential of Two Fusarium oxysporum Isolates Cultured from the International Space Station
OSD-265	Selecting for Chlamydomonas reinhardtii fitness in the KSC Veggie Unit
OSD-266	Growth rate of mammary cancers arising in irradiated mice is associated with pattern of immune infiltrate
OSD-267	Microbiological and nutritional analysis of lettuce crops grown on the International Space Station-VEG01A
OSD-268	Microbiological and nutritional analysis of lettuce crops grown on the International Space Station-VEG01B
OSD-269	Microbiological and nutritional analysis of lettuce crops grown on the International Space Station-VEG03A
OSD-27	Transcription profiling of Drosophila exposed to a levitation magnet for different lengths of time
OSD-270	Bulk and spatially resolved transcriptional analysis of hearts from mice flown on the RR-3
OSD-271	Global gene expression profiling of radiation-induced rat mammary carcinomas
OSD-272	Transcriptional analysis of spleens from mice preserved with the Rapid Freeze hardware
OSD-273	Transcriptional analysis of livers from mice preserved with the Rapid Freeze hardware
OSD-274	Transcriptional analysis of soleus from mice preserved with the Rapid Freeze hardware
OSD-275	Global DNA methylation profiling of radiation-induced rat mammary carcinomas
OSD-276	Swabs from the International Space Station Raw sequence reads
OSD-277	Spaceflight Analogue Culture Enhances the Host-Pathogen Interaction Between Salmonella and a 3-D Biomimetic Intestinal Co-Culture Model
OSD-278	Spaceflight and simulated microgravity conditions increase virulence of Serratia marcescens in the Drosophila melanogaster infection model
OSD-279	International Space Station flight project EXTREMOPHILES
OSD-28	Bacillus subtilis spores PROTECT experiment Space-exposed and Mars-exposed vs. Earth-control
OSD-280	Salivary microbiome sequencing of astronauts
OSD-281	During development, the Sku5 mutant roots engage different genes than wild type WS roots, either on the ground or in spaceflight.
OSD-282	The Heat-Inducible Transcription Factor HsfA2 Enhances Anoxia Tolerance in Arabidopsis
OSD-283	Dynamic gene expression response to altered gravity in human myelomonocytic U937 cells [parabolic]
OSD-284	Expression data from rice calli cultured with 2,4-D
OSD-285	Chronic low dose-rate radiation down-regulates transcription related to mitosis and chromosomal movement similar to acute high dose in prostate cells.
OSD-286	CRV vehicles meta-genome
OSD-287	Murine TCR-beta repertoire sequencing
OSD-288	Transcriptome analysis of murine spleen in space
OSD-289	Impact of spaceflight on gene expression in the thymus
OSD-29	Genechip analysis of bone marrow osteoprogenitors exposed to microgravity
OSD-290	Lower eukaryotic isolates belonging to class Tremellomycetes isolated from International Space Station Genome sequencing and assembly
OSD-291	Kineosporiaceae bacterium B12, whole genome shotgun sequencing project
OSD-293	Draft Genome sequences of Rhodotorula mucilaginosa isolated from the International space station
OSD-294	Efficient Identification of Multiple Pathways: RNA-Seq Analysis of Livers from 56Fe Ion Irradiated Mice
OSD-295	RNA-Seq transcriptome profiling of soleus from adult and aged mice following disuse muscle atrophy and recovery
OSD-296	Transcription profiling of Arabidopsis seedings exposed to UV-B irradiation
OSD-297	Dynamic gene expression response to altered gravity in human myelomonocytic U937 cells [sounding rocket]
OSD-298	Draft Genome Sequences of Sphingomonas sp. Isolated from the International Space Station Genome sequencing and assembly
OSD-299	Sphingomonas Metagenomic assembly
OSD-3	Drosophila melanogaster gene expression changes after spaceflight.
OSD-30	Transcription profiling of mouse osteoblasts under static vs simulated microgravity
OSD-300	Draft Genome Sequences of Members of the family Methylobacteriaceae Associated with the International Space Station
OSD-301	Eruca sativa Rocket Science RNA-seq
OSD-302	ISS Enterobacteriales Genomes
OSD-303	ISS Bacillus Genomes
OSD-304	Global gene expression in response to X rays in mice deficient in Parp1
OSD-305	Transcriptomic responses of Serratia liquefaciens cells grown under simulated Martian conditions of low temperature, low pressure, and CO2-enriched anoxic atmosphere.
OSD-306	Draft Genome Sequences of novel Agrobacterium genomospecies 3 Associated from the International Space Station
OSD-307	Evaluating the Lettuce Metatranscriptome with MinION Sequencing for Future Spaceflight Food Production Application
OSD-308	Differential expression profiles of long non-coding RNAs during the mouse pronucleus stage under normal gravity and simulated microgravity
OSD-309	Comparative Genomic Analysis of Klebsiella Exposed to Various Space Conditions at the International Space Station
OSD-31	Experimental design and environmental parameters affect Rhodospirillum rubrum S1H response to space flight.
OSD-310	Spaceflight-induced (STS-62) vertebral bone loss in ovariectomized rats is associated with increased bone marrow adiposity and no change in bone formation
OSD-311	Part two: ISS Enterobacteriales
OSD-313	Dissecting transcriptional responses of nucleolin mutants to red light stimulation and darkness in ground reference conditions
OSD-314	Adaptive response of Arabidopsis seedlings in microgravity and Mars reduced gravity environment is enhanced by red light photostimulation
OSD-315	Comparative proteomic analysis and bioluminescent reporter gene assays to investigate effects of simulated microgravity on Caco-2 cells
OSD-316	Plasticity of the human IgM repertoire in response to a long-term spaceflight
OSD-317	Galactic cosmic radiation induces stable epigenome alterations relevant to human lung cancer
OSD-318	RNA seq of tumors derived from irradiated versus sham hosts transplanted with Trp53 null mammary tissue and fed either Control diet versus Caffeic Acid Phenethyl Ester (CAPE) diet.
OSD-319	Muscle atrophy, osteoporosis prevention in hibernating mammals
OSD-32	Effect of microgravity on brain gene expression in mice
OSD-320	Gamma radiation and HZE treatment of seedlings in Arabidopsis
OSD-321	Relevance of Unfolded Protein Response to Spaceflight-Induced Transcriptional Reprogramming in Arabidopsis
OSD-322	Comparative RNA-Seq transcriptome analyses reveal dynamic time dependent effects of 56Fe, 16O, and 28Si irradiation on the induction of murine hepatocellular carcinoma
OSD-323	Evaluating the effect of spaceflight on the host-pathogen interaction between human intestinal epithelial cells and Salmonella Typhimurium
OSD-324	Osteocytes transcriptome is altered during spaceflight
OSD-326	Gene-metabolite network linked to inhibited bioenergetics in association with spaceflight induced loss of quadriceps muscle
OSD-329	Transcription profiling of atm mutant, adm mutant and wild type whole plants and roots of Arabidopsis after gamma ray irradiation in a time series
OSD-33	Gene responses in mouse brain to long-term exposure to microgravity
OSD-331	Effect of microgravity on HUVECs (Human Umbilical vein Endothelial cells) cells and its transcriptome analysis.
OSD-334	miRNA signature detection and countermeasures against HZE radiation exposure for tissue degeneration-Heart tissue
OSD-335	miRNA signature detection and countermeasures against HZE radiation exposure for tissue degeneration-Liver tissue
OSD-336	miRNA signature detection and countermeasures against HZE radiation exposure for tissue degeneration-Plasma
OSD-337	miRNA signature detection and countermeasures against HZE radiation exposure for tissue degeneration-Soleus muscle
OSD-34	Environmental and simulation facility conditions can modulate a behavioral-driven altered gravity response of Drosophila imagoes transcriptome
OSD-340	Mlh1 deficiency increases the risk of hematopoietic malignancy after simulated space radiation exposure
OSD-342	Targeting myostatin/activin A protects against skeletal muscle and bone loss during spaceflight [plasma proteomics]
OSD-343	Comprehensive multi-omics analysis reveals mitochondrial stress as a central biological hub for spaceflight impact
OSD-344	Real-time quantitative PCR analysis of human cardiovascular progenitor cells flown aboard the International Space Station
OSD-345	Mouse femur LC-MSMS upon weightlessness
OSD-346	RNAseq analysis of the response of Arabidopsis thaliana phytochrome mutants (PhyA, PhyB) to fractional gravity under blue-light stimulation during spaceflight
OSD-347	Heart Flies - effect of microgravity on heart function in Drosophila
OSD-35	Expression Data from International C.elegans Experiment 1st
OSD-350	Draft genome sequences of Aspergillus and Penicillium species isolated from the International Space Station and Crew Resupply Vehicle Capsule
OSD-351	Effects of Spaceflight on Bone Microarchitecture in the Axial and Appendicular Skeleton in Growing Ovariectomized Rats from STS-62
OSD-352	Multi-modal transcriptional and chromatin accessibility analysis of brains from mice flown on the RR-3 mission
OSD-353	The Effects of Spaceflight Factors on the Human Plasma Proteome, Including Both Real Space Missions and Ground-Based Experiments
OSD-354	Molecular Transducers of Human Skeletal Muscle Remodeling under Different Loading States
OSD-355	Next-generation sequencing analysis of circulating micro-RNA expression in response to parabolic flight as a spaceflight analogue
OSD-356	Transcriptional profiling of the mutualistic bacterium Vibrio fischeri and an hfq mutant under modeled microgravity
OSD-359	Proteome profiling of the exhaled breath condensate after long-term spaceflights
OSD-36	Transcription profiling of Drosophila after exposure to microgravity in the International Space Station and in a microgravity simulator
OSD-360	Effects of low dose space radiation exposures on the splenic metabolome
OSD-361	ISS Surfaces Bacterial Genomes from MT-2 (ISS-MOP)
OSD-362	An LaeA- and BrlA-Dependent Cellular Network Governs Tissue-Specific Secondary Metabolism in the Human Pathogen Aspergillus fumigatus
OSD-363	Inflammatory gene expression signatures in idiopathic intracranial hypertension: possible implications in microgravity-induced ICP elevation - CSF
OSD-364	Inflammatory gene expression signatures in idiopathic intracranial hypertension: possible implications in microgravity-induced ICP elevation - Plasma
OSD-367	Bystander response to 0.5 Gy of alpha-particles in a human 3-dimensional skin model in 16h after exposure to ionizing radiation
OSD-368	Biological response to low dose of alpha-particles in a human 3-dimensional skin model, in 1 and 16h after exposure to ionizing radiation.
OSD-369	Bystander responses to 0.5Gy of alpha-particles in a human 3-dimensional skin model in 4h after exposure to ionizing radiation
OSD-37	Comparison of the spaceflight transcriptome of four commonly used Arabidopsis thaliana ecotypes
OSD-370	Insulin resistance induced by physical inactivity is associated with multiple transcriptional changes in skeletal muscle in young men
OSD-372	Genome sequencing of Staphylococcus, Burkholderia, and Ralstonia bacterial isolates isolated from the ISS
OSD-373	RNA sequencing of zebrafish embryos under simulated microgravity conditions
OSD-374	Bi-directional and shared epigenomic signatures following proton irradiation
OSD-375	Transcriptional profiling of roots and shoots from Brachypodium distachyon seedlings flown on the ISS
OSD-379	Transcriptional profiling of livers from mice flown on Rodent Research Reference Mission-1 (RRRM-1)
OSD-38	Proteomics and Transcriptomics analysis of Arabidopsis Seedlings in Microgravity
OSD-383	Long-read sequencing reveals increased occurrence of genomic variants and adenosine methylation in Bacillus pumilus SAFR-032 after long-duration flight exposure onboard the International Space Station
OSD-385	Persistence of Escherichia coli in the microbiomes of red Romaine lettuce (Lactuca sativa cv. ‘Outredgeous’)- does seed sanitization matter?
OSD-386	Persistence of Escherichia coli in the microbiomes of mizuna mustard (Brassica rapa var. japonica) - does seed sanitization matter?
OSD-39	BASE-A space experiment with Rhodospirillum rubrum S1H
OSD-391	Draft Genome Sequences of Heat-Shock Tolerant Firmicutes Isolated from a Spacecraft Assembly Facility
OSD-396	Gene-metabolite networks associated with impediment of bone fracture repair in spaceflight
OSD-397	Illumina NGS RNA-seq and RRBS Sequencing on Spaceflight Mouse Retina
OSD-4	Microarray Analysis of Space-flown Murine Thymus Tissue
OSD-40	Gene expression profiling of C. elegans under various thermal conditions
OSD-400	Draft Genomes of Fungi Isolated from the International Space Station during the Microbial Tracking-2 Experiment
OSD-401	Alternative splicing regulates the physiological adaptation of the mouse hind limb postural and phasic muscles to microgravity
OSD-402	Single cell transcriptional profiling of femur bone marrow from mice flown on Rodent Research Reference Mission-2 (RRRM-2)
OSD-403	Single cell transcriptional profiling of humerus bone marrow from mice flown on Rodent Research Reference Mission-2 (RRRM-2)
OSD-404	Single cell transcriptional profiling of peripheral blood mononuclear cells (PBMCs) from mice flown on Rodent Research Reference Mission-2 (RRRM-2)
OSD-405	Single cell transcriptional profiling of spleens from mice flown on Rodent Research Reference Mission-2 (RRRM-2)
OSD-406	Transcriptomic responses of Arabidopsis thaliana lines WS and sku5 to the Blue Origin NS-12 and Virgin Galactic VP-03 suborbital flights
OSD-41	Microgravity effect on C. elegans N2/VC (CERISE 8days)
OSD-410	Dataset for dose and time-dependent transcriptional response to ionizing radiation exposure.
OSD-411	Plant Gravity Perception: Pilot (PGP Pilot)
OSD-412	Spatial characterization of microbial communities on multi-species leafy greens grown simultaneously in the Veggie vegetable production systems on the International Space Station VEG-03D
OSD-413	Spatial characterization of microbial communities on multi-species leafy greens grown simultaneously in the Veggie vegetable production systems on the International Space Station VEG-03E
OSD-414	Spatial characterization of microbial communities on multi-species leafy greens grown simultaneously in the Veggie vegetable production systems on the International Space Station VEG-03F
OSD-415	Serum metabolomics associating with circulating microRNA profiles reveal the role of miR-383-5p in rat hippocampus under simulated microgravity
OSD-416	Characterizing Epigenetic Changes in Methylation Mutants (elp2-5 and met1-7) in Response to Spaceflight. [Bisulfite-Seq]
OSD-418	Transcriptional profiling of gastrocnemius from rats exposed to partial weight bearing treatment to mimic Martian gravity
OSD-419	Transcriptional profiling of the right gastrocnemius muscle from mice flown on the RR-1 mission
OSD-42	Expression data from C. elegans
OSD-420	Transcriptional profiling of spleens from mice flown on the RR-9 mission
OSD-421	Transcriptional profiling of thymus from mice flown on the RR-9 mission
OSD-422	Transcriptional profiling of gastrocnemius muscle from rats flown on the SLS-1 mission
OSD-423	Transcriptional profiling of thymus tissue from rats flown on the SLS-2 mission
OSD-425	The effect of microgravity on the epigenetic modification in C. elegans - JAXA EPIGENETICS spaceflight experiment
